Date,AAPL,CVX,IBM,XOM,GS,BA,TEVA,CME
9/24/2015,107.327568,65.355156,121.385773,62.215275,166.636688,116.119133,56.985901,76.469475
9/25/2015,107.056892,66.043655,122.234718,62.642982,169.387146,117.246765,55.48061,78.352371
9/28/2015,104.938339,64.403198,119.797081,62.104073,162.97258,114.669334,53.19931,76.774796
9/29/2015,101.783844,64.81118,119.755074,62.420578,161.879959,115.224197,51.497681,76.664558
9/30/2015,102.941124,67.046638,121.856476,63.60107,163.669601,117.193077,52.78793,78.657722
10/1/2015,102.269157,66.587631,120.696526,63.353016,165.798416,116.888794,54.695244,79.539795
10/2/2015,103.015785,69.316086,121.528671,64.909882,166.730881,118.633919,56.15379,76.817223
10/5/2015,103.389107,71.424042,125.277557,65.705429,170.206573,119.940559,54.5924,77.376999
10/6/2015,103.883736,73.939987,125.059036,66.62928,169.848679,120.486481,54.199722,76.206558
10/7/2015,103.389107,74.900475,126.160164,67.749893,171.647751,122.625389,54.741993,76.919006
10/8/2015,102.194481,76.421951,128.001007,68.459892,170.55513,124.433189,55.387123,76.231972
10/9/2015,104.639717,76.13295,128.09346,67.801231,168.784302,125.023842,55.125328,74.891922
10/12/2015,104.154366,75.42746,127.04274,67.835457,169.763916,125.900887,55.349724,75.960579
10/13/2015,104.331711,75.12146,125.765083,67.715691,170.460938,125.551842,54.031429,74.858002
10/14/2015,102.857132,76.294456,126.092896,68.571106,169.085709,120.119553,54.601753,74.06073
10/15/2015,104.397049,77.110435,126.160164,69.700287,174.219223,122.956512,56.200535,75.646767
10/16/2015,103.631767,77.594917,126.412331,70.55571,174.426422,123.14447,56.92046,76.24897
10/19/2015,104.275711,76.523941,125.428879,69.281128,174.953934,123.878304,56.284679,77.521202
10/20/2015,106.179642,76.489944,118.216843,69.144249,174.737274,124.290001,54.124924,77.639938
10/21/2015,106.170296,75.928947,118.452171,68.613884,169.264709,126.357315,54.152969,76.622147
10/22/2015,107.794189,77.87542,121.116768,70.906433,172.900497,130.939377,52.320446,78.420242
10/23/2015,111.135353,77.552406,121.612709,70.983429,174.727859,131.288452,55.676952,79.683968
10/26/2015,107.588867,75.452957,120.755333,69.477867,176.150146,131.288452,55.82655,79.641579
10/27/2015,106.90757,74.543488,115.880081,69.366669,175.490829,132.863586,55.574104,79.633102
10/28/2015,111.312668,76.319946,118.376534,70.384613,180.209885,132.344498,58.294853,81.371803
10/29/2015,112.488594,76.404961,118.141197,70.341843,178.862915,131.718018,56.322083,82.62709
10/30/2015,111.527328,77.246429,117.746117,70.778107,176.611725,132.514572,55.340366,80.125031
11/2/2015,113.095245,80.714348,117.989853,72.95089,178.665131,132.809845,56.864361,81.787399
11/3/2015,114.392502,83.417305,119.259132,74.293922,179.616486,132.53244,58.014359,81.431175
11/4/2015,113.860535,82.252846,119.049004,73.549698,180.520737,133.44191,57.50948,80.905334
11/5/2015,113.335655,80.365875,117.586388,72.548843,180.869263,133.243835,56.957859,81.007103
11/6/2015,113.466873,79.923874,117.297935,72.257996,187.604019,133.216782,56.275333,82.092728
11/9/2015,113.007607,78.47039,114.803505,70.713448,185.333984,131.451859,55.882648,82.457451
11/10/2015,109.445953,79.243889,114.939262,71.058601,186.322998,130.704468,56.041595,82.822144
11/11/2015,108.827339,78.359894,114.557465,70.428703,185.927414,130.560364,55.284275,83.03418
11/12/2015,108.461807,76.379456,112.877525,68.521721,181.575684,128.354202,54.536304,81.719559
11/13/2015,105.293808,75.376472,111.783043,67.391335,179.333908,128.399216,54.555111,80.9562
11/16/2015,107.018402,78.680267,113.446007,69.807419,181.001129,130.047119,55.307472,81.287003
11/17/2015,106.559135,78.318909,113.53933,68.996292,179.503464,131.541916,56.379574,80.761139
11/18/2015,109.933342,79.334122,115.236206,69.669357,182.413986,133.522949,57.62096,81.566879
11/19/2015,111.329895,78.146828,116.016792,69.289688,181.820602,134.387436,57.404659,82.423531
11/20/2015,111.817261,76.580963,117.510033,68.849609,180.351166,134.531494,58.025349,82.805183
11/23/2015,110.364494,77.44133,117.476128,69.272423,178.203598,133.577011,58.646038,82.542274
11/24/2015,111.423599,78.594215,117.594902,70.65303,177.713791,133.856125,58.636639,81.558418
11/25/2015,110.626923,78.181236,117.085838,70.109421,178.165924,132.757568,59.247929,81.363327
11/27/2015,110.420731,77.751083,117.476128,70.092178,179.409241,132.325348,59.689934,81.974007
11/30/2015,110.879997,78.568405,118.290627,70.463219,179.598297,130.974579,59.182095,82.822144
12/1/2015,109.980186,79.566444,119.868744,70.661667,182.481033,133.036713,61.147614,82.991776
12/2/2015,108.986679,77.647835,118.528198,68.642509,179.825104,132.334335,59.360775,83.314072
12/3/2015,107.974419,76.443314,117.866394,67.658821,175.042633,131.073654,59.746361,80.939255
12/4/2015,111.564194,77.183243,119.147537,68.047127,179.569901,133.721085,61.805927,84.535423
12/7/2015,110.861244,75.092545,118.400925,66.269592,175.316727,133.676025,62.078655,84.425171
12/8/2015,110.814377,74.36985,117.128281,64.397118,172.887695,130.560364,61.758915,83.376663
12/9/2015,108.36808,75.367859,115.906494,65.259995,170.798889,129.885025,61.561413,80.171516
12/10/2015,108.883583,76.830475,116.05072,65.311775,172.122086,131.839066,60.715012,80.913132
12/11/2015,106.081123,74.36985,114.175659,64.146881,166.876511,130.227234,60.649189,78.551895
12/14/2015,105.425026,76.8563,115.329544,65.605171,166.725281,128.768417,60.263603,80.717064
12/15/2015,103.559845,79.807343,116.907654,68.538971,172.027573,131.947128,61.09119,81.109177
12/16/2015,104.356514,80.392387,118.180336,68.297363,175.997284,133.369873,61.946999,81.424583
12/17/2015,102.144554,77.897339,116.025276,67.270523,172.594666,131.073654,61.439159,80.955757
12/18/2015,99.379585,77.269257,114.45565,66.683754,165.865189,125.688797,61.373325,78.89286
12/21/2015,100.598045,76.778839,114.964706,66.666504,168.001221,126.877426,61.984623,78.799103
12/22/2015,100.504333,77.665016,117.026428,67.003029,170.175125,128.210144,61.815342,80.717064
12/23/2015,101.79776,80.710732,117.543983,69.194748,172.916046,129.722931,62.191509,80.013573
12/24/2015,101.254143,79.19648,117.297935,68.452682,172.462357,129.245697,62.370201,80.813797
12/28/2015,100.120033,77.74247,116.754913,67.943573,171.658997,130.155182,62.003422,80.805
12/29/2015,101.919609,78.508186,118.596077,68.305992,173.464249,132.685547,62.257347,81.183136
12/30/2015,100.588676,77.510147,118.222755,67.399971,172.027573,131.839066,62.144489,80.479637
12/31/2015,98.657883,77.398323,116.763412,67.261894,170.345215,130.200211,61.73069,79.670624
1/4/2016,98.742249,76.443314,115.346519,66.839081,167.424698,126.517235,61.410942,77.973457
1/5/2016,96.267815,77.097198,115.261681,67.408607,164.541977,127.030502,61.937588,78.588982
1/6/2016,94.383888,74.051498,114.684746,66.847717,160.52507,125.013443,61.09119,78.202087
1/7/2016,90.400467,71.427399,112.724815,65.77774,155.591339,119.772652,60.649189,76.970978
1/8/2016,90.878479,70.661674,111.681213,64.448906,154.948654,117.05323,59.906235,75.827766
1/11/2016,92.350006,69.491577,113.038727,63.586002,156.640472,117.25132,59.708744,76.460922
1/12/2016,93.6903,70.678879,112.758759,64.888962,156.621582,118.791122,60.564552,76.724731
1/13/2016,91.281494,69.973366,111.290924,65.277275,150.270111,115.369308,59.041023,74.016296
1/14/2016,93.277916,73.535278,112.767242,68.271477,152.538498,116.34182,59.445415,74.482338
1/15/2016,91.037811,71.986633,110.323685,66.942627,147.0755,113.127121,58.796513,74.49115
1/19/2016,90.59729,70.128235,108.694672,65.924431,148.219147,113.514313,58.39212,75.722252
1/20/2016,90.719131,67.95153,103.391884,63.145935,145.317551,109.984444,58.194626,74.042679
1/21/2016,90.259872,69.732491,104.282745,63.9398,143.332687,111.119057,58.29808,72.099266
1/22/2016,95.058739,71.874786,103.934891,66.071129,148.256943,112.208633,59.492439,74.543892
1/25/2016,93.202934,69.594818,103.578537,63.83625,142.831757,111.66835,59.407799,74.429588
1/26/2016,93.718437,72.373787,104.011246,66.183296,145.979141,115.270264,60.244793,75.950897
1/27/2016,87.560509,71.659698,102.628273,64.966629,145.289169,104.977798,58.335693,76.258667
1/28/2016,88.188484,73.922447,103.697334,66.433525,148.445999,106.26548,56.812176,76.584038
1/29/2016,91.23465,74.39566,105.877823,67.175606,152.699158,108.174484,57.818459,79.011093
2/1/2016,90.381721,73.380424,105.911781,65.829521,150.893951,109.462158,58.965797,78.650558
2/2/2016,88.554024,69.895943,104.308228,64.362602,143.379929,105.824249,57.310608,78.360352
2/3/2016,90.306725,72.803986,105.818459,67.719238,144.306183,109.741325,56.680515,78.615379
2/4/2016,91.032356,72.950233,108.30439,68.884125,147.907242,111.308159,56.332554,75.915718
2/5/2016,88.601059,71.306938,109.084991,69.099838,147.888367,110.362648,55.354492,77.867928
2/8/2016,89.533989,73.982674,108.836411,70.031761,141.064316,107.58017,53.539433,79.310081
2/9/2016,89.515144,71.341354,106.342201,69.727013,140.119171,107.048897,54.235359,82.053703
2/10/2016,88.836655,71.444595,103.016602,69.091393,139.155106,105.749298,53.52063,79.609047
2/11/2016,88.299492,71.401581,101.010941,69.309052,132.973785,98.551514,50.85918,78.545036
2/12/2016,88.572784,73.50087,103.74514,70.554176,138.115402,98.724167,52.42971,80.154274
2/16/2016,91.070045,73.892944,105.202232,70.719627,140.846954,102.332161,52.787086,79.767334
2/17/2016,92.464752,76.942413,108.082138,71.398796,142.661636,105.73111,54.235359,81.033653
2/18/2016,90.71196,75.565796,113.524826,71.790604,139.627701,106.848953,53.661694,80.286186
2/19/2016,90.504639,75.36541,114.064789,71.834152,138.852661,104.65873,53.257305,82.062485
2/22/2016,91.296219,77.386772,114.656219,71.738373,140.629562,106.685371,54.000252,80.875336
2/23/2016,89.23243,73.980087,113.481956,70.728355,136.962387,106.240051,54.047276,80.813797
2/24/2016,90.561165,74.293732,113.824806,70.98085,137.576706,105.049522,53.501816,81.16555
2/25/2016,91.183121,74.319878,115.281914,71.407494,140.119171,106.167343,54.476303,81.948196
2/26/2016,91.324493,73.492157,113.164825,71.181107,142.009491,107.38517,53.908638,81.93058
2/29/2016,91.117157,72.69931,112.307724,69.787964,141.943054,107.403328,52.603024,80.409294
3/1/2016,94.73584,75.043022,115.170479,70.771866,146.803223,109.021019,53.076073,81.39418
3/2/2016,94.943161,75.923004,116.824699,72.008278,146.376053,108.739296,53.255836,82.04493
3/3/2016,95.649933,76.262817,118.110367,71.747086,147.448776,108.702919,52.603024,82.959427
3/4/2016,97.072906,76.611328,118.110367,71.651291,148.882141,110.0298,52.621944,83.363953
